Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
≡COSiPh₃ (triphenylsiloxymethylidyne),X3,[C-3]O[Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-3,,270
Au(PPh₃) (triphenylphosphinogold),X,[Au][P-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,271
CNCy (cyclohexyl isocyanide),L,[C-]#[N+]C1CCCCC1,0,,272
PH₂Ph (phenylphosphane),L,PC1C=CC=CC=1,0,,273
CNPrⁱ (isopropyl isocyanide),L,[C-]#[N+]C(C)C,0,,274
GeH₃ (germyl),X,[GeH3-],-1,,275
O₂CEt (propanoato-κO),X,CCC(=O)[O-],-1,,276
PbPh₃ (triphenylplumbyl),X,[Pb-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,277
C₆Cl₅ (pentachlorophenyl),X,C1(Cl)[C-]=C(Cl)C(Cl)=C(Cl)C=1Cl,-1,,278
=NCl (chloroimino),X2,[N-2]Cl,-2,,279
NC₄H₂Me₂ (dimethylpyrrolyl),X,[N-]1C(C)=CC=C1C,-1,,280
SC(NH₂)₂ (thiourea),L,S=C(N)N,0,,281
"OC₆H₂Buᵗ₃-2,4,6 (tri-t-butylphenoxy-2,4,6)",X,C1(C(C)(C)C)C=C(C(C)(C)C)C=C(C(C)(C)C)C=1[O-],-1,,282
